Número,Combinación
143,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice deposite a la inversa, bienes de cualquier naturaleza, cuando tenga conocimiento de que proceden de una actividad ilícita."
144,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice deposite a la inversa, bienes de cualquier naturaleza, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
145,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice retire dentro del territorio nacional, recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
146,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice retire dentro del territorio nacional, recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
147,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice retire dentro del territorio nacional, derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
148,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice retire dentro del territorio nacional, derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
149,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice retire dentro del territorio nacional, bienes de cualquier naturaleza, cuando tenga conocimiento de que proceden de una actividad ilícita."
150,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice retire dentro del territorio nacional, bienes de cualquier naturaleza, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
151,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice retire de éste hacia el extranjero, recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
152,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice retire de éste hacia el extranjero, recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
153,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice retire de éste hacia el extranjero, derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
154,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice retire de éste hacia el extranjero, derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
155,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice retire de éste hacia el extranjero, bienes de cualquier naturaleza, cuando tenga conocimiento de que proceden de una actividad ilícita."
156,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice retire de éste hacia el extranjero, bienes de cualquier naturaleza, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
157,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice retire a la inversa, recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
158,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice retire a la inversa, recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
159,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice retire a la inversa, derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
160,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice retire a la inversa, derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
161,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice retire a la inversa, bienes de cualquier naturaleza, cuando tenga conocimiento de que proceden de una actividad ilícita."
162,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice retire a la inversa, bienes de cualquier naturaleza, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
163,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice dé por cualquier motivo dentro del territorio nacional, recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
164,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice dé por cualquier motivo dentro del territorio nacional, recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
165,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice dé por cualquier motivo dentro del territorio nacional, derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
166,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice dé por cualquier motivo dentro del territorio nacional, derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
167,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice dé por cualquier motivo dentro del territorio nacional, bienes de cualquier naturaleza, cuando tenga conocimiento de que proceden de una actividad ilícita."
168,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice dé por cualquier motivo dentro del territorio nacional, bienes de cualquier naturaleza, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
169,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice dé por cualquier motivo de éste hacia el extranjero, recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
170,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice dé por cualquier motivo de éste hacia el extranjero, recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
171,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice dé por cualquier motivo de éste hacia el extranjero, derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
172,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice dé por cualquier motivo de éste hacia el extranjero, derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
173,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice dé por cualquier motivo de éste hacia el extranjero, bienes de cualquier naturaleza, cuando tenga conocimiento de que proceden de una actividad ilícita."
174,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice dé por cualquier motivo de éste hacia el extranjero, bienes de cualquier naturaleza, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
175,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice dé por cualquier motivo a la inversa, recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
176,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice dé por cualquier motivo a la inversa, recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
177,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice dé por cualquier motivo a la inversa, derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
178,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice dé por cualquier motivo a la inversa, derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
179,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice dé por cualquier motivo a la inversa, bienes de cualquier naturaleza, cuando tenga conocimiento de que proceden de una actividad ilícita."
180,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice dé por cualquier motivo a la inversa, bienes de cualquier naturaleza, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
181,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice reciba por cualquier motivo dentro del territorio nacional, recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
182,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice reciba por cualquier motivo dentro del territorio nacional, recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
183,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice reciba por cualquier motivo dentro del territorio nacional, derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
184,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice reciba por cualquier motivo dentro del territorio nacional, derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
185,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice reciba por cualquier motivo dentro del territorio nacional, bienes de cualquier naturaleza, cuando tenga conocimiento de que proceden de una actividad ilícita."
186,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice reciba por cualquier motivo dentro del territorio nacional, bienes de cualquier naturaleza, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
187,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice reciba por cualquier motivo de éste hacia el extranjero, recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
188,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice reciba por cualquier motivo de éste hacia el extranjero, recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
189,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice reciba por cualquier motivo de éste hacia el extranjero, derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
190,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice reciba por cualquier motivo de éste hacia el extranjero, derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
191,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice reciba por cualquier motivo de éste hacia el extranjero, bienes de cualquier naturaleza, cuando tenga conocimiento de que proceden de una actividad ilícita."
192,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice reciba por cualquier motivo de éste hacia el extranjero, bienes de cualquier naturaleza, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
193,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice reciba por cualquier motivo a la inversa, recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
194,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice reciba por cualquier motivo a la inversa, recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
195,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice reciba por cualquier motivo a la inversa, derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
196,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice reciba por cualquier motivo a la inversa, derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
197,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice reciba por cualquier motivo a la inversa, bienes de cualquier naturaleza, cuando tenga conocimiento de que proceden de una actividad ilícita."
198,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice reciba por cualquier motivo a la inversa, bienes de cualquier naturaleza, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
199,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice invierta dentro del territorio nacional, recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
200,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice invierta dentro del territorio nacional, recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
201,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice invierta dentro del territorio nacional, derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
202,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice invierta dentro del territorio nacional, derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
203,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice invierta dentro del territorio nacional, bienes de cualquier naturaleza, cuando tenga conocimiento de que proceden de una actividad ilícita."
204,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice invierta dentro del territorio nacional, bienes de cualquier naturaleza, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
205,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice invierta de éste hacia el extranjero, recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
206,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice invierta de éste hacia el extranjero, recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
207,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice invierta de éste hacia el extranjero, derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
208,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice invierta de éste hacia el extranjero, derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
209,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice invierta de éste hacia el extranjero, bienes de cualquier naturaleza, cuando tenga conocimiento de que proceden de una actividad ilícita."
210,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice invierta de éste hacia el extranjero, bienes de cualquier naturaleza, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
211,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice invierta a la inversa, recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
212,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice invierta a la inversa, recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
213,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice invierta a la inversa, derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
214,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice invierta a la inversa, derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
215,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice invierta a la inversa, bienes de cualquier naturaleza, cuando tenga conocimiento de que proceden de una actividad ilícita."
216,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice invierta a la inversa, bienes de cualquier naturaleza, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
217,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice traspase dentro del territorio nacional, recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
218,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice traspase dentro del territorio nacional, recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
219,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice traspase dentro del territorio nacional, derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
220,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice traspase dentro del territorio nacional, derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
221,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice traspase dentro del territorio nacional, bienes de cualquier naturaleza, cuando tenga conocimiento de que proceden de una actividad ilícita."
222,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice traspase dentro del territorio nacional, bienes de cualquier naturaleza, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
223,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice traspase de éste hacia el extranjero, recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
224,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice traspase de éste hacia el extranjero, recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
225,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice traspase de éste hacia el extranjero, derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
226,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice traspase de éste hacia el extranjero, derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
227,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice traspase de éste hacia el extranjero, bienes de cualquier naturaleza, cuando tenga conocimiento de que proceden de una actividad ilícita."
228,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice traspase de éste hacia el extranjero, bienes de cualquier naturaleza, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
229,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice traspase a la inversa, recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
230,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice traspase a la inversa, recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
231,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice traspase a la inversa, derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
232,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice traspase a la inversa, derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
233,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice traspase a la inversa, bienes de cualquier naturaleza, cuando tenga conocimiento de que proceden de una actividad ilícita."
234,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice traspase a la inversa, bienes de cualquier naturaleza, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
235,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice transporte dentro del territorio nacional, recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
236,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice transporte dentro del territorio nacional, recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
237,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice transporte dentro del territorio nacional, derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
238,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice transporte dentro del territorio nacional, derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
239,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice transporte dentro del territorio nacional, bienes de cualquier naturaleza, cuando tenga conocimiento de que proceden de una actividad ilícita."
240,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice transporte dentro del territorio nacional, bienes de cualquier naturaleza, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
241,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice transporte de éste hacia el extranjero, recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
242,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice transporte de éste hacia el extranjero, recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
243,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice transporte de éste hacia el extranjero, derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
244,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice transporte de éste hacia el extranjero, derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
245,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice transporte de éste hacia el extranjero, bienes de cualquier naturaleza, cuando tenga conocimiento de que proceden de una actividad ilícita."
246,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice transporte de éste hacia el extranjero, bienes de cualquier naturaleza, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
247,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice transporte a la inversa, recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
248,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice transporte a la inversa, recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
249,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice transporte a la inversa, derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
250,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice transporte a la inversa, derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
251,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice transporte a la inversa, bienes de cualquier naturaleza, cuando tenga conocimiento de que proceden de una actividad ilícita."
252,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice transporte a la inversa, bienes de cualquier naturaleza, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
253,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice transfiera dentro del territorio nacional, recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
254,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice transfiera dentro del territorio nacional, recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
255,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice transfiera dentro del territorio nacional, derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
256,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice transfiera dentro del territorio nacional, derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
257,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice transfiera dentro del territorio nacional, bienes de cualquier naturaleza, cuando tenga conocimiento de que proceden de una actividad ilícita."
258,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice transfiera dentro del territorio nacional, bienes de cualquier naturaleza, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
259,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice transfiera de éste hacia el extranjero, recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
260,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice transfiera de éste hacia el extranjero, recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
261,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice transfiera de éste hacia el extranjero, derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
262,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice transfiera de éste hacia el extranjero, derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
263,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice transfiera de éste hacia el extranjero, bienes de cualquier naturaleza, cuando tenga conocimiento de que proceden de una actividad ilícita."
264,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice transfiera de éste hacia el extranjero, bienes de cualquier naturaleza, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
265,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice transfiera a la inversa, recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
266,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice transfiera a la inversa, recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
267,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice transfiera a la inversa, derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
268,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice transfiera a la inversa, derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
269,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice transfiera a la inversa, bienes de cualquier naturaleza, cuando tenga conocimiento de que proceden de una actividad ilícita."
270,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice transfiera a la inversa, bienes de cualquier naturaleza, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
