Número,Combinación
152,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda encubrir movimiento de recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
153,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda encubrir movimiento de derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
154,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda encubrir movimiento de derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
155,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda encubrir movimiento de bienes, cuando tenga conocimiento de que proceden de una actividad ilícita."
156,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda encubrir movimiento de bienes, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
157,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda encubrir propiedad de recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
158,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda encubrir propiedad de recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
159,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda encubrir propiedad de derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
160,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda encubrir propiedad de derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
161,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda encubrir propiedad de bienes, cuando tenga conocimiento de que proceden de una actividad ilícita."
162,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda encubrir propiedad de bienes, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
163,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda encubrir titularidad de recursos, cuando tenga conocimiento de que proceden de una actividad ilícita."
164,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda encubrir titularidad de recursos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
165,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda encubrir titularidad de derechos, cuando tenga conocimiento de que proceden de una actividad ilícita."
166,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda encubrir titularidad de derechos, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
167,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda encubrir titularidad de bienes, cuando tenga conocimiento de que proceden de una actividad ilícita."
168,"Se impondrá de cinco a quince años de prisión y de mil a cinco mil días multa al que, por sí o por interpósita persona realice pretenda encubrir titularidad de bienes, cuando tenga conocimiento de que representan el producto de una actividad ilícita."
